,demand_error,solar_cf_error,offshore_cf_error,onshore_cf_error,overall_cf_error,compound_error,Years,Weights
absolute,0.06244695852744851,0.30715969600058335,0.49530341190932453,0.48296626465106113,0.428476457520323,0.33696908277210436,"2010,2011,2012","1,1,8"
signed,-0.004190370300618868,-0.031228439168585965,-0.009269162555744243,-0.013497655475835993,-0.017998419066722067,-0.014546406875196267,"2010,2011,2012","1,1,8"
absolute,0.0686386681019194,0.3180265993916797,0.5161012957572827,0.5090382675450786,0.4477220542313471,0.35295120769899013,"2010,2011,2012","1,8,1"
signed,-0.0051549049683798,-0.004580935613584726,0.006362330399997368,0.010616054851860617,0.0041324832127577526,0.0018106361674733646,"2010,2011,2012","1,8,1"
absolute,0.06914991574337463,0.2901009915597912,0.4626175663255208,0.44730552556452263,0.40000802781661154,0.3172934997983023,"2010,2011,2012","8,1,1"
signed,-0.00554461985003337,-0.02579559867182968,-0.11215575451887483,-0.1041755314866724,-0.08070896155912564,-0.061917876131852574,"2010,2011,2012","8,1,1"
absolute,0.07014311125338878,0.2897689644903531,0.4617836895883521,0.44523130647213877,0.3989279868502813,0.3167317679510582,"2010,2015,2016","8,1,1"
signed,-0.004455928130082884,-0.018666058745227802,-0.11697578482832634,-0.10907555194158453,-0.08157246517171289,-0.062293330911305386,"2010,2015,2016","8,1,1"
absolute,0.06524883269178022,0.3153352923431737,0.485417118258348,0.4808729283074331,0.4272084463029849,0.3367185429001837,"2010,2016,2017","1,1,8"
signed,0.00035496894318121026,-0.03873036260496186,-0.05313136470758154,-0.049332987980051486,-0.04706490509753163,-0.03520993658735342,"2010,2016,2017","1,1,8"
absolute,0.06605197136978722,0.2894148634895385,0.46654207396461445,0.44991737169106427,0.4019581030484057,0.31798157012875106,"2010,2016,2017","8,1,1"
signed,-0.004235832586640131,-0.023679628112833997,-0.12806845095470928,-0.12030223328192276,-0.090683437449822,-0.06907153623402654,"2010,2016,2017","8,1,1"
absolute,0.058075380634990216,0.31333949568246244,0.48588367339267174,0.4715979010207489,0.4236070233652944,0.33222411268271834,"2011,2012,2013","1,1,8"
signed,-0.005603408274101933,-0.009436995591899195,0.004231596524890042,-0.009394825294516714,-0.004866741453841955,-0.00505090815890695,"2011,2012,2013","1,1,8"
absolute,0.06162011055081163,0.30806228196097263,0.5002689229030082,0.48627880018765884,0.43153666835054655,0.3390575289006128,"2011,2012,2013","1,8,1"
signed,-0.004197718853627438,-0.02918361378359466,0.005279256324726357,-0.00165006720181654,-0.008518141553561613,-0.00743803587857807,"2011,2012,2013","1,8,1"
absolute,0.06467519601091573,0.31905126667900957,0.5090655625792465,0.5000870750109581,0.4427346347564047,0.34821977507003243,"2011,2012,2013","8,1,1"
signed,-0.005162253521388372,-0.002536110228593415,0.020910749280467968,0.022463643125880065,0.013612760725918207,0.008919007164091563,"2011,2012,2013","8,1,1"
absolute,0.06026629497695147,0.31617055818136713,0.5073164052121256,0.499074907912713,0.4408539571020686,0.3457070415707893,"2011,2015,2016","8,1,1"
signed,-0.004010539693907377,0.005579270464195018,0.01847345507895613,0.022114832445310307,0.015389185996153819,0.01053925457363852,"2011,2015,2016","8,1,1"
absolute,0.062050565907863266,0.3157561031519783,0.509262701584898,0.5025204094875784,0.44251307140815155,0.34739744503307946,"2011,2016,2017","8,1,1"
signed,-0.0037904441504646226,0.0005657010965888214,0.0073807889525731845,0.01088815110497206,0.006278213718044688,0.003761049250917361,"2011,2016,2017","8,1,1"
absolute,0.06914991574337463,0.2901009915597912,0.4626175663255208,0.44730552556452263,0.40000802781661154,0.3172934997983023,"2012,2011,2010","1,1,8"
signed,-0.00554461985003337,-0.025795598671829685,-0.11215575451887481,-0.1041755314866724,-0.08070896155912563,-0.06191787613185257,"2012,2011,2010","1,1,8"
absolute,0.06317009725785859,0.2953662026190843,0.4896105921070322,0.4807490064246776,0.42190860038359806,0.3322239746021632,"2012,2013,2014","1,1,8"
signed,-0.004760923183618097,-0.011341561538189581,-0.03550409883984257,-0.03150378684082798,-0.02611648240628671,-0.020777592600619555,"2012,2013,2014","1,1,8"
absolute,0.06255026515207185,0.3096357470662506,0.49492421939264825,0.48054153799377386,0.4283671681508909,0.3369129424011861,"2012,2013,2014","1,8,1"
signed,-0.005553241981880648,-0.01053767700559871,-0.0028202594901487682,-0.01614075404035522,-0.009832896845367567,-0.008762983129495836,"2012,2013,2014","1,8,1"
absolute,0.05755702702814004,0.30620736624764494,0.4969559117733912,0.4848040764133164,0.42932245147811754,0.33638109536562316,"2012,2013,2014","8,1,1"
signed,-0.004147552561406154,-0.030284295197294173,-0.0017725996903124519,-0.00839599594765505,-0.013484296945087224,-0.011150110849166957,"2012,2013,2014","8,1,1"
absolute,0.05365798069885964,0.3030618340725905,0.4917695088516666,0.4809596511128224,0.4252636646790265,0.3323622436839848,"2012,2015,2016","8,1,1"
signed,-0.0029082143593234548,-0.024875019312949262,0.0006088917009657111,-0.005443693643485806,-0.00990327375182312,-0.008154508903698203,"2012,2015,2016","8,1,1"
absolute,0.058224876819963786,0.3011454983513394,0.5011048300050043,0.488222609335923,0.4301576458974223,0.33717445362805765,"2012,2016,2017","8,1,1"
signed,-0.0026881188158807004,-0.02988858868055545,-0.010483774425417225,-0.016670374983824045,-0.01901424602993224,-0.014932714226419355,"2012,2016,2017","8,1,1"
absolute,0.06467519601091573,0.31905126667900957,0.5090655625792465,0.5000870750109581,0.4427346347564047,0.34821977507003243,"2013,2012,2011","1,1,8"
signed,-0.005162253521388372,-0.00253611022859341,0.020910749280467968,0.022463643125880062,0.013612760725918207,0.008919007164091563,"2013,2012,2011","1,1,8"
absolute,0.0509283892531048,0.3080896171355697,0.49204366087312396,0.49414610500309436,0.43142646100392934,0.3363019430662232,"2013,2014,2015","1,1,8"
signed,0.0005242725158144747,0.0005897283839241654,0.05791692046313425,0.061794382942399445,0.04010034392981929,0.030206326076318086,"2013,2014,2015","1,1,8"
absolute,0.06447250600692551,0.29308379420396236,0.48499244450362505,0.47401654052461323,0.41736425974406693,0.3291413213097816,"2013,2014,2015","1,8,1"
signed,-0.0017913080054407023,-0.005956126095949251,-0.025742312995671465,-0.020416165609289993,-0.017371534900303572,-0.013476478176587854,"2013,2014,2015","1,8,1"
absolute,0.05982592122882017,0.30650597650955613,0.4848244184130784,0.46762677135713665,0.4196523887599237,0.3296957718771478,"2013,2014,2015","8,1,1"
signed,-0.0025857975401368505,-0.005150827207462039,0.007031071119363965,-0.005011042307994024,-0.0010435994653640328,-0.001429148984057237,"2013,2014,2015","8,1,1"
absolute,0.05475653994384066,0.30990819166864836,0.4842936061305954,0.4664979820807506,0.4202332599599981,0.32886407995595873,"2013,2015,2016","8,1,1"
signed,-0.004514716554151449,-0.0023074556652973046,-0.0005884337845614997,-0.01429484574942886,-0.005730245066429222,-0.0054263629383597784,"2013,2015,2016","8,1,1"
absolute,0.05250631717223383,0.30946509348841666,0.4914772691656477,0.4738631709112644,0.4249351778551096,0.33182796268439063,"2013,2016,2017","8,1,1"
signed,-0.0042946210107086946,-0.007321025032903504,-0.011681099910944445,-0.025521527089767113,-0.014841217344538353,-0.012204568261080939,"2013,2016,2017","8,1,1"
absolute,0.05755702702814004,0.30620736624764494,0.4969559117733912,0.4848040764133164,0.42932245147811754,0.33638109536562316,"2014,2013,2012","1,1,8"
signed,-0.004147552561406154,-0.03028429519729418,-0.0017725996903124477,-0.008395995947655057,-0.013484296945087229,-0.01115011084916696,"2014,2013,2012","1,1,8"
absolute,0.06291878807852072,0.3361077971740552,0.4864332761181555,0.4611993499082077,0.42791347440013944,0.33666480281973477,"2014,2015,2016","1,1,8"
signed,0.0019645854616597257,0.02890827695883692,-0.0720177702709213,-0.07780937815831582,-0.040306290490133394,-0.029738571502185115,"2014,2015,2016","1,1,8"
absolute,0.05658447679011926,0.31225325138352056,0.5029834720067013,0.5056979687140482,0.44031156403475663,0.3443797922235973,"2014,2015,2016","1,8,1"
signed,-0.001299955557617596,0.0033081770733660153,0.04548926327685347,0.050133332045177816,0.032976924131799104,0.02440770420944493,"2014,2015,2016","1,8,1"
absolute,0.06229553348446422,0.29375733815987404,0.4909095227555794,0.48263470474368375,0.4224338552197124,0.3323992747859003,"2014,2015,2016","8,1,1"
signed,-0.0036092093561371024,-0.0032261808454011544,-0.037941393041354424,-0.03185259752139773,-0.024340057136051103,-0.019157345191072605,"2014,2015,2016","8,1,1"
absolute,0.05578483106968726,0.2942960863111464,0.49577005217846304,0.4868371370166525,0.425634425168754,0.3331720266439873,"2014,2016,2017","8,1,1"
signed,-0.003389113812694349,-0.00823975021300735,-0.04903405916773735,-0.04307927886173598,-0.03345102941416023,-0.02593555051379376,"2014,2016,2017","8,1,1"
absolute,0.05982592122882017,0.30650597650955613,0.4848244184130784,0.46762677135713665,0.4196523887599237,0.3296957718771478,"2015,2014,2013","1,1,8"
signed,-0.0025857975401368505,-0.005150827207462039,0.007031071119363965,-0.005011042307994027,-0.0010435994653640339,-0.001429148984057238,"2015,2014,2013","1,1,8"
absolute,0.07014311125338878,0.2897689644903531,0.4617836895883521,0.44523130647213877,0.3989279868502813,0.3167317679510582,"2015,2016,2010","1,1,8"
signed,-0.004455928130082884,-0.018666058745227806,-0.11697578482832634,-0.10907555194158453,-0.08157246517171289,-0.062293330911305386,"2015,2016,2010","1,1,8"
absolute,0.06026629497695147,0.31617055818136713,0.5073164052121256,0.499074907912713,0.4408539571020686,0.3457070415707893,"2015,2016,2011","1,1,8"
signed,-0.004010539693907377,0.005579270464195012,0.018473455078956126,0.02211483244531031,0.015389185996153817,0.010539254573638518,"2015,2016,2011","1,1,8"
absolute,0.05365798069885964,0.3030618340725905,0.4917695088516666,0.4809596511128224,0.4252636646790265,0.3323622436839848,"2015,2016,2012","1,1,8"
signed,-0.0029082143593234548,-0.024875019312949255,0.0006088917009657079,-0.005443693643485802,-0.009903273751823117,-0.008154508903698201,"2015,2016,2012","1,1,8"
absolute,0.05475653994384066,0.30990819166864836,0.4842936061305953,0.4664979820807506,0.42023325995999805,0.3288640799559587,"2015,2016,2013","1,1,8"
signed,-0.004514716554151449,-0.0023074556652973046,-0.0005884337845614997,-0.014294845749428861,-0.005730245066429222,-0.0054263629383597784,"2015,2016,2013","1,1,8"
absolute,0.06229553348446422,0.29375733815987404,0.4909095227555794,0.48263470474368375,0.4224338552197124,0.3323992747859003,"2015,2016,2014","1,1,8"
signed,-0.0036092093561371024,-0.0032261808454011544,-0.037941393041354424,-0.03185259752139773,-0.024340057136051103,-0.019157345191072605,"2015,2016,2014","1,1,8"
absolute,0.06498711459495511,0.31505338604120864,0.48050234131665354,0.47258404112342833,0.42271325616043015,0.33328172076906143,"2015,2016,2017","1,1,8"
signed,0.000790702189712935,-0.035866898164802506,-0.03133340054589463,-0.02796784302516021,-0.03172271391195245,-0.023594359886536107,"2015,2016,2017","1,1,8"
absolute,0.06559602771968087,0.33462858044727967,0.4809128828073509,0.45674945185838944,0.42409697170433996,0.33447173570817523,"2015,2016,2017","1,8,1"
signed,0.002514574404890984,0.024828187293911765,-0.07119177120898883,-0.07732378384628612,-0.04122912258712106,-0.03029319833911805,"2015,2016,2017","1,8,1"
absolute,0.05252736456125492,0.3136842021687676,0.5053609384332104,0.5064568365884164,0.44183399239679816,0.34450733543791234,"2015,2016,2017","8,1,1"
signed,-0.0007499666143863405,-0.0007719125915591547,0.04631526233878595,0.050618926357207494,0.03205409203481143,0.023853077372511987,"2015,2016,2017","8,1,1"
absolute,0.062290174884082616,0.3291114794440708,0.4652885328712262,0.4511885668574381,0.4151961930575783,0.3269696885142044,"2015,2016,2018","1,1,8"
signed,0.0020618531506032337,0.057520252256549165,-0.03181427814620319,-0.0404938137086433,-0.004929279866099108,-0.003181496611923523,"2015,2016,2018","1,1,8"
absolute,0.0526092299283853,0.3120724168859997,0.5025699508025654,0.507560226590777,0.44073419809311404,0.34370295605193185,"2015,2016,2018","8,1,1"
signed,-0.0005910727442750539,0.0109014812111098,0.046255152638747375,0.04905318002177211,0.0354032712905431,0.026404685281838557,"2015,2016,2018","8,1,1"
absolute,0.06671327016107938,0.31384665437713455,0.47283828207566364,0.46023161856358646,0.41563885167212816,0.32840745629436596,"2015,2016,2019","1,1,8"
signed,0.002385470768094451,0.01915208056892138,0.007550396614311466,0.009404218499843544,0.012035565227692132,0.009623041612792711,"2015,2016,2019","1,1,8"
absolute,0.05252736456125492,0.3136842021687676,0.5053609384332104,0.5064568365884164,0.44183399239679816,0.34450733543791234,"2015,2017,2016","8,1,1"
signed,-0.0007499666143863405,-0.0007719125915591559,0.04631526233878595,0.050618926357207494,0.032054092034811424,0.023853077372511983,"2015,2017,2016","8,1,1"
absolute,0.0454555730186688,0.3072810461436716,0.5015519317820477,0.5035359236559939,0.43745630052723766,0.33945611865009545,"2015,2017,2018","8,1,1"
signed,0.0019000917410615054,0.003994081314266629,0.054831258208674453,0.05899746440560165,0.03927426797618091,0.029930723917401057,"2015,2017,2018","8,1,1"
absolute,0.0526092299283853,0.3120724168859997,0.5025699508025654,0.507560226590777,0.44073419809311404,0.34370295605193185,"2015,2018,2016","8,1,1"
signed,-0.0005910727442750539,0.010901481211109804,0.046255152638747375,0.04905318002177212,0.0354032712905431,0.02640468528183856,"2015,2018,2016","8,1,1"
absolute,0.0454555730186688,0.3072810461436716,0.5015519317820477,0.5035359236559939,0.43745630052723766,0.33945611865009545,"2015,2018,2017","8,1,1"
signed,0.0019000917410615054,0.003994081314266632,0.054831258208674453,0.05899746440560165,0.03927426797618091,0.02993072391740106,"2015,2018,2017","8,1,1"
absolute,0.06229553348446422,0.29375733815987404,0.4909095227555794,0.48263470474368375,0.4224338552197124,0.3323992747859003,"2016,2015,2014","1,1,8"
signed,-0.0036092093561371024,-0.0032261808454011544,-0.037941393041354424,-0.03185259752139773,-0.024340057136051103,-0.019157345191072605,"2016,2015,2014","1,1,8"
absolute,0.06559602771968087,0.33462858044727967,0.4809128828073509,0.45674945185838944,0.42409697170433996,0.33447173570817523,"2016,2015,2017","8,1,1"
signed,0.002514574404890984,0.024828187293911754,-0.07119177120898881,-0.07732378384628613,-0.04122912258712106,-0.03029319833911805,"2016,2015,2017","8,1,1"
absolute,0.0645072595735744,0.33329193901172827,0.4816281617703241,0.4587835301894329,0.42456787699049503,0.3345527226362649,"2016,2015,2018","8,1,1"
signed,0.002673468275002269,0.036501581096580735,-0.07125188090902738,-0.07888953018172153,-0.037879943331389394,-0.027741590429791477,"2016,2015,2018","8,1,1"
absolute,0.06605197136978722,0.2894148634895385,0.46654207396461445,0.44991737169106427,0.4019581030484057,0.31798157012875106,"2016,2017,2010","1,1,8"
signed,-0.004235832586640131,-0.023679628112833993,-0.1280684509547093,-0.12030223328192276,-0.090683437449822,-0.06907153623402654,"2016,2017,2010","1,1,8"
absolute,0.062050565907863266,0.3157561031519783,0.509262701584898,0.5025204094875784,0.44251307140815155,0.34739744503307946,"2016,2017,2011","1,1,8"
signed,-0.0037904441504646226,0.0005657010965888199,0.0073807889525731845,0.01088815110497206,0.0062782137180446874,0.00376104925091736,"2016,2017,2011","1,1,8"
absolute,0.058224876819963786,0.3011454983513394,0.5011048300050043,0.488222609335923,0.4301576458974223,0.33717445362805765,"2016,2017,2012","1,1,8"
signed,-0.0026881188158807004,-0.029888588680555456,-0.010483774425417225,-0.016670374983824048,-0.019014246029932246,-0.014932714226419359,"2016,2017,2012","1,1,8"
absolute,0.05250631717223383,0.30946509348841666,0.4914772691656476,0.4738631709112644,0.42493517785510954,0.3318279626843906,"2016,2017,2013","1,1,8"
signed,-0.0042946210107086946,-0.007321025032903504,-0.011681099910944445,-0.025521527089767113,-0.014841217344538353,-0.012204568261080939,"2016,2017,2013","1,1,8"
absolute,0.05578483106968726,0.29429608631114645,0.49577005217846304,0.4868371370166525,0.42563442516875405,0.3331720266439874,"2016,2017,2014","1,1,8"
signed,-0.003389113812694349,-0.00823975021300735,-0.04903405916773735,-0.043079278861735966,-0.03345102941416022,-0.025935550513793756,"2016,2017,2014","1,1,8"
absolute,0.06559602771968087,0.33462858044727967,0.4809128828073509,0.45674945185838944,0.42409697170433996,0.33447173570817523,"2016,2017,2015","8,1,1"
signed,0.002514574404890984,0.024828187293911754,-0.07119177120898881,-0.07732378384628615,-0.041229122587121074,-0.030293198339118057,"2016,2017,2015","8,1,1"
absolute,0.067809420586495,0.3256801914051659,0.46579699035880745,0.45180391517380225,0.41442703231259187,0.32777262938106766,"2016,2017,2018","1,1,8"
signed,0.00228194869404599,0.052506682888942974,-0.042906944272586116,-0.051720495048981546,-0.014040252144208232,-0.009959701934644676,"2016,2017,2018","1,1,8"
absolute,0.07012299312760707,0.30839154256264945,0.4797087155581975,0.4753361374965478,0.42114546520579826,0.3333898471862505,"2016,2017,2018","1,8,1"
signed,0.0011696916032669764,-0.029207073729739734,-0.042486176372316144,-0.04076027070093383,-0.0374845069343299,-0.02782095729993068,"2016,2017,2018","1,8,1"
absolute,0.06558892056036925,0.3278308630284603,0.47576363762531015,0.45389717363286164,0.4191638914288774,0.33077014871175037,"2016,2017,2018","8,1,1"
signed,0.002893563818445024,0.03148801172897454,-0.08234454703541032,-0.09011621152205976,-0.04699091560949851,-0.03451979575251263,"2016,2017,2018","8,1,1"
absolute,0.0645072595735744,0.33329193901172827,0.4816281617703241,0.4587835301894329,0.42456787699049503,0.3345527226362649,"2016,2018,2015","8,1,1"
signed,0.002673468275002269,0.03650158109658072,-0.07125188090902738,-0.07888953018172153,-0.037879943331389394,-0.02774159042979148,"2016,2018,2015","8,1,1"
absolute,0.06558892056036925,0.3278308630284603,0.47576363762531015,0.45389717363286164,0.4191638914288774,0.33077014871175037,"2016,2018,2017","8,1,1"
signed,0.002893563818445024,0.03148801172897454,-0.08234454703541032,-0.09011621152205976,-0.04699091560949851,-0.03451979575251263,"2016,2018,2017","8,1,1"
absolute,0.06498711459495511,0.31505338604120864,0.48050234131665354,0.47258404112342833,0.42271325616043015,0.33328172076906143,"2017,2015,2016","8,1,1"
signed,0.000790702189712935,-0.035866898164802506,-0.031333400545894625,-0.02796784302516021,-0.031722713911952444,-0.0235943598865361,"2017,2015,2016","8,1,1"
absolute,0.06394724678133026,0.31141743016174583,0.47972344245562687,0.47253875346298185,0.42122654202678483,0.33190671821542117,"2017,2015,2018","8,1,1"
signed,0.0034449815555829704,-0.031162650439884115,-0.02303014073870388,-0.019804611194251975,-0.024665800790946657,-0.01763810520431425,"2017,2015,2018","8,1,1"
absolute,0.05252736456125492,0.3136842021687676,0.5053609384332104,0.5064568365884164,0.44183399239679816,0.34450733543791234,"2017,2016,2015","1,1,8"
signed,-0.0007499666143863405,-0.0007719125915591551,0.04631526233878595,0.05061892635720749,0.03205409203481143,0.023853077372511987,"2017,2016,2015","1,1,8"
absolute,0.06498711459495511,0.31505338604120864,0.48050234131665354,0.47258404112342833,0.42271325616043015,0.33328172076906143,"2017,2016,2015","8,1,1"
signed,0.000790702189712935,-0.035866898164802506,-0.03133340054589463,-0.02796784302516021,-0.03172271391195245,-0.023594359886536107,"2017,2016,2015","8,1,1"
absolute,0.07012299312760707,0.30839154256264945,0.4797087155581975,0.4753361374965478,0.42114546520579826,0.3333898471862505,"2017,2016,2018","8,1,1"
signed,0.0011696916032669764,-0.029207073729739734,-0.04248617637231615,-0.040760270700933826,-0.0374845069343299,-0.02782095729993068,"2017,2016,2018","8,1,1"
absolute,0.06394724678133026,0.31141743016174583,0.47972344245562687,0.47253875346298185,0.42122654202678483,0.33190671821542117,"2017,2018,2015","8,1,1"
signed,0.0034449815555829704,-0.031162650439884115,-0.023030140738703873,-0.019804611194251975,-0.024665800790946657,-0.01763810520431425,"2017,2018,2015","8,1,1"
absolute,0.07012299312760707,0.30839154256264945,0.4797087155581975,0.4753361374965478,0.42114546520579826,0.3333898471862505,"2017,2018,2016","8,1,1"
signed,0.0011696916032669764,-0.029207073729739727,-0.04248617637231614,-0.040760270700933826,-0.0374845069343299,-0.027820957299930678,"2017,2018,2016","8,1,1"
absolute,0.06999157969684085,0.3120284706761668,0.4774717795595435,0.46591450157225534,0.41847158393598854,0.33135158287620164,"2017,2018,2019","1,1,8"
signed,0.005264817907877993,0.01893073853365141,0.004837130380143465,0.006412400169001643,0.010060089694265506,0.008861271747668629,"2017,2018,2019","1,1,8"
absolute,0.06829042769180747,0.32884246487638263,0.46610122321279657,0.45262601679222525,0.4158565682938015,0.328965033143303,"2017,2018,2019","1,8,1"
signed,0.0049808766969148075,0.05256195566197814,-0.02970132740630809,-0.03736799658378716,-0.004835789442705701,-0.0023816229078005738,"2017,2018,2019","1,8,1"
absolute,0.06789647952378731,0.31032180469254245,0.47925175823303773,0.47372523960324225,0.4210996008429408,0.3327988205131524,"2017,2018,2019","8,1,1"
signed,0.0038655723264350325,-0.029295568287461018,-0.02927940671727025,-0.026377744223826976,-0.028317573076186084,-0.020271786725530806,"2017,2018,2019","8,1,1"
absolute,0.062290174884082616,0.3291114794440708,0.4652885328712262,0.451188566857438,0.4151961930575783,0.3269696885142044,"2018,2015,2016","8,1,1"
signed,0.0020618531506032337,0.057520252256549165,-0.03181427814620319,-0.0404938137086433,-0.004929279866099108,-0.003181496611923523,"2018,2015,2016","8,1,1"
absolute,0.06201928867738558,0.3253144424650173,0.4629300347516398,0.448747350238216,0.4123306091516244,0.3247527790330647,"2018,2015,2017","8,1,1"
signed,0.00456028592606275,0.05069487350955503,-0.02345206142774172,-0.030794863554212147,-0.0011840171574662786,0.0002520586134159785,"2018,2015,2017","8,1,1"
absolute,0.062290174884082616,0.3291114794440708,0.4652885328712262,0.4511885668574381,0.4151961930575783,0.3269696885142044,"2018,2016,2015","8,1,1"
signed,0.0020618531506032337,0.057520252256549165,-0.031814278146203176,-0.0404938137086433,-0.004929279866099104,-0.0031814966119235195,"2018,2016,2015","8,1,1"
absolute,0.067809420586495,0.3256801914051659,0.46579699035880745,0.45180391517380225,0.41442703231259187,0.32777262938106766,"2018,2016,2017","8,1,1"
signed,0.00228194869404599,0.052506682888942974,-0.042906944272586116,-0.051720495048981546,-0.014040252144208232,-0.009959701934644676,"2018,2016,2017","8,1,1"
absolute,0.06201928867738558,0.3253144424650173,0.4629300347516398,0.44874735023821605,0.4123306091516244,0.3247527790330647,"2018,2017,2015","8,1,1"
signed,0.00456028592606275,0.050694873509555025,-0.023452061427741713,-0.030794863554212147,-0.0011840171574662786,0.0002520586134159785,"2018,2017,2015","8,1,1"
absolute,0.06558892056036925,0.3278308630284603,0.47576363762531027,0.45389717363286164,0.4191638914288774,0.33077014871175037,"2018,2017,2016","1,1,8"
signed,0.002893563818445024,0.03148801172897453,-0.08234454703541032,-0.09011621152205976,-0.04699091560949851,-0.03451979575251263,"2018,2017,2016","1,1,8"
absolute,0.067809420586495,0.3256801914051659,0.46579699035880745,0.45180391517380225,0.41442703231259187,0.32777262938106766,"2018,2017,2016","8,1,1"
signed,0.00228194869404599,0.052506682888942974,-0.042906944272586116,-0.051720495048981546,-0.014040252144208232,-0.009959701934644676,"2018,2017,2016","8,1,1"
absolute,0.06671327016107938,0.31384665437713455,0.47283828207566364,0.46023161856358646,0.41563885167212816,0.32840745629436596,"2019,2015,2016","8,1,1"
signed,0.002385470768094451,0.01915208056892138,0.007550396614311466,0.009404218499843546,0.012035565227692132,0.009623041612792711,"2019,2015,2016","8,1,1"
absolute,0.06789647952378731,0.31032180469254245,0.47925175823303773,0.47372523960324225,0.4210996008429408,0.3327988205131524,"2019,2018,2017","1,1,8"
signed,0.0038655723264350325,-0.029295568287461018,-0.02927940671727025,-0.026377744223826983,-0.028317573076186084,-0.020271786725530806,"2019,2018,2017","1,1,8"
