,nodes,techs,Value,source_model
0,netherlands,battery,1214.8793536080577,reference_full_horizon_2010_2019
1,netherlands,h2_salt_cavern,11465509.325063242,reference_full_horizon_2010_2019
0,netherlands,battery,778.8692851935003,results_plan_cluster_2010_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7543326.327365019,results_plan_cluster_2010_2011_weights_1_9.netcdf
0,netherlands,battery,783.6612053202828,results_plan_cluster_2010_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7905915.113073731,results_plan_cluster_2010_2012_weights_1_9.netcdf
0,netherlands,battery,778.8315759140442,results_plan_cluster_2010_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8880776.99446135,results_plan_cluster_2010_2013_weights_1_9.netcdf
0,netherlands,battery,783.7788589604439,results_plan_cluster_2010_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6107345.960713854,results_plan_cluster_2010_2014_weights_1_9.netcdf
0,netherlands,battery,778.6772719757604,results_plan_cluster_2010_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7542674.810667923,results_plan_cluster_2010_2015_weights_1_9.netcdf
0,netherlands,battery,783.3930644845109,results_plan_cluster_2010_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8191444.329810044,results_plan_cluster_2010_2016_weights_1_9.netcdf
0,netherlands,battery,783.6364206566318,results_plan_cluster_2010_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,9530498.925038284,results_plan_cluster_2010_2017_weights_1_9.netcdf
0,netherlands,battery,783.7993672479507,results_plan_cluster_2010_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6748967.412559729,results_plan_cluster_2010_2018_weights_1_9.netcdf
0,netherlands,battery,783.6134357365656,results_plan_cluster_2010_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6616234.642602239,results_plan_cluster_2010_2019_weights_1_9.netcdf
0,netherlands,battery,778.8640396920666,results_plan_cluster_2011_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7557890.665434209,results_plan_cluster_2011_2010_weights_1_9.netcdf
0,netherlands,battery,778.8692851935003,results_plan_cluster_2011_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,7543326.327365038,results_plan_cluster_2011_2010_weights_9_1.netcdf
0,netherlands,battery,1029.1253860053812,results_plan_cluster_2011_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4862221.992033871,results_plan_cluster_2011_2012_weights_1_9.netcdf
0,netherlands,battery,1248.3734042471212,results_plan_cluster_2011_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4237010.576097655,results_plan_cluster_2011_2013_weights_1_9.netcdf
0,netherlands,battery,870.8985042507747,results_plan_cluster_2011_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5016339.2222751,results_plan_cluster_2011_2014_weights_1_9.netcdf
0,netherlands,battery,1141.0166399226339,results_plan_cluster_2011_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4221379.551593531,results_plan_cluster_2011_2015_weights_1_9.netcdf
0,netherlands,battery,1191.275777925535,results_plan_cluster_2011_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7606633.39667449,results_plan_cluster_2011_2016_weights_1_9.netcdf
0,netherlands,battery,1706.6966983007767,results_plan_cluster_2011_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4867151.947046561,results_plan_cluster_2011_2017_weights_1_9.netcdf
0,netherlands,battery,1251.0749483044353,results_plan_cluster_2011_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,3839870.0819490966,results_plan_cluster_2011_2018_weights_1_9.netcdf
0,netherlands,battery,1009.7499360098541,results_plan_cluster_2011_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4906898.428520666,results_plan_cluster_2011_2019_weights_1_9.netcdf
0,netherlands,battery,783.6618213494617,results_plan_cluster_2012_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7906298.875285503,results_plan_cluster_2012_2010_weights_1_9.netcdf
0,netherlands,battery,783.6612053202828,results_plan_cluster_2012_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,7905915.113073745,results_plan_cluster_2012_2010_weights_9_1.netcdf
0,netherlands,battery,1029.1916595169514,results_plan_cluster_2012_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4862474.290595241,results_plan_cluster_2012_2011_weights_1_9.netcdf
0,netherlands,battery,726.2349436226586,results_plan_cluster_2012_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5771022.263726866,results_plan_cluster_2012_2013_weights_1_9.netcdf
0,netherlands,battery,948.1482066539321,results_plan_cluster_2012_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4608147.841143451,results_plan_cluster_2012_2014_weights_1_9.netcdf
0,netherlands,battery,1143.5945570329213,results_plan_cluster_2012_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5163149.637069409,results_plan_cluster_2012_2015_weights_1_9.netcdf
0,netherlands,battery,1002.8528296344358,results_plan_cluster_2012_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5308159.912223061,results_plan_cluster_2012_2016_weights_1_9.netcdf
0,netherlands,battery,844.818751455199,results_plan_cluster_2012_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6186652.149466702,results_plan_cluster_2012_2017_weights_1_9.netcdf
0,netherlands,battery,1096.6444793136948,results_plan_cluster_2012_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4981786.14652754,results_plan_cluster_2012_2018_weights_1_9.netcdf
0,netherlands,battery,747.555175204048,results_plan_cluster_2012_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5695002.041311845,results_plan_cluster_2012_2019_weights_1_9.netcdf
0,netherlands,battery,778.8314223425062,results_plan_cluster_2013_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8881375.294404656,results_plan_cluster_2013_2010_weights_1_9.netcdf
0,netherlands,battery,778.8315759140442,results_plan_cluster_2013_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,8880776.994461348,results_plan_cluster_2013_2010_weights_9_1.netcdf
0,netherlands,battery,1248.3235407619054,results_plan_cluster_2013_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4237482.998549347,results_plan_cluster_2013_2011_weights_1_9.netcdf
0,netherlands,battery,725.560773525561,results_plan_cluster_2013_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5776384.259006508,results_plan_cluster_2013_2012_weights_1_9.netcdf
0,netherlands,battery,841.32892677746,results_plan_cluster_2013_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5571541.4787978,results_plan_cluster_2013_2014_weights_1_9.netcdf
0,netherlands,battery,656.924972399138,results_plan_cluster_2013_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4563124.859819104,results_plan_cluster_2013_2015_weights_1_9.netcdf
0,netherlands,battery,1249.4212735683564,results_plan_cluster_2013_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,10231455.034349112,results_plan_cluster_2013_2016_weights_1_9.netcdf
0,netherlands,battery,599.7661887269178,results_plan_cluster_2013_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4888743.786516596,results_plan_cluster_2013_2017_weights_1_9.netcdf
0,netherlands,battery,1068.7484903853788,results_plan_cluster_2013_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5045288.13569788,results_plan_cluster_2013_2018_weights_1_9.netcdf
0,netherlands,battery,1030.9701347638959,results_plan_cluster_2013_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6080167.132570051,results_plan_cluster_2013_2019_weights_1_9.netcdf
0,netherlands,battery,783.7661455299359,results_plan_cluster_2014_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6092658.122418625,results_plan_cluster_2014_2010_weights_1_9.netcdf
0,netherlands,battery,783.7788589604439,results_plan_cluster_2014_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,6107345.96071386,results_plan_cluster_2014_2010_weights_9_1.netcdf
0,netherlands,battery,870.8847400300945,results_plan_cluster_2014_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5020316.226167941,results_plan_cluster_2014_2011_weights_1_9.netcdf
0,netherlands,battery,947.6148346579407,results_plan_cluster_2014_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4606189.927069124,results_plan_cluster_2014_2012_weights_1_9.netcdf
0,netherlands,battery,834.5260096408759,results_plan_cluster_2014_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5439020.345466256,results_plan_cluster_2014_2013_weights_1_9.netcdf
0,netherlands,battery,1685.8005369942446,results_plan_cluster_2014_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5880702.483177855,results_plan_cluster_2014_2015_weights_1_9.netcdf
0,netherlands,battery,1025.76643716029,results_plan_cluster_2014_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7332918.318121718,results_plan_cluster_2014_2016_weights_1_9.netcdf
0,netherlands,battery,1333.3625951498896,results_plan_cluster_2014_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6789740.424019474,results_plan_cluster_2014_2017_weights_1_9.netcdf
0,netherlands,battery,1625.1668784898459,results_plan_cluster_2014_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5913432.712146498,results_plan_cluster_2014_2018_weights_1_9.netcdf
0,netherlands,battery,1641.4548562265804,results_plan_cluster_2014_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5809032.168096562,results_plan_cluster_2014_2019_weights_1_9.netcdf
0,netherlands,battery,783.8009068212008,results_plan_cluster_2015_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7550464.830113267,results_plan_cluster_2015_2010_weights_1_9.netcdf
0,netherlands,battery,778.6772719757604,results_plan_cluster_2015_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,7542674.810667917,results_plan_cluster_2015_2010_weights_9_1.netcdf
0,netherlands,battery,1140.8810092574429,results_plan_cluster_2015_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4248012.366240831,results_plan_cluster_2015_2011_weights_1_9.netcdf
0,netherlands,battery,1143.5793956436785,results_plan_cluster_2015_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5165484.479049318,results_plan_cluster_2015_2012_weights_1_9.netcdf
0,netherlands,battery,658.5803845484071,results_plan_cluster_2015_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4564423.25466445,results_plan_cluster_2015_2013_weights_1_9.netcdf
0,netherlands,battery,1685.8131738721875,results_plan_cluster_2015_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5888942.231268588,results_plan_cluster_2015_2014_weights_1_9.netcdf
0,netherlands,battery,1145.255785182797,results_plan_cluster_2015_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8739016.610360453,results_plan_cluster_2015_2016_weights_1_9.netcdf
0,netherlands,battery,1143.1976849339896,results_plan_cluster_2015_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5013340.570345253,results_plan_cluster_2015_2017_weights_1_9.netcdf
0,netherlands,battery,1143.2354348694246,results_plan_cluster_2015_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,3984784.0513816974,results_plan_cluster_2015_2018_weights_1_9.netcdf
0,netherlands,battery,489.8580360577762,results_plan_cluster_2015_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4696049.11628306,results_plan_cluster_2015_2019_weights_1_9.netcdf
0,netherlands,battery,783.3969447057872,results_plan_cluster_2016_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8195195.672490378,results_plan_cluster_2016_2010_weights_1_9.netcdf
0,netherlands,battery,783.3930644845109,results_plan_cluster_2016_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,8191442.531574956,results_plan_cluster_2016_2010_weights_9_1.netcdf
0,netherlands,battery,1191.7519866980388,results_plan_cluster_2016_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7754127.076275583,results_plan_cluster_2016_2011_weights_1_9.netcdf
0,netherlands,battery,1002.6673996038646,results_plan_cluster_2016_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5305432.43887212,results_plan_cluster_2016_2012_weights_1_9.netcdf
0,netherlands,battery,1248.5311827448973,results_plan_cluster_2016_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,10197858.845116304,results_plan_cluster_2016_2013_weights_1_9.netcdf
0,netherlands,battery,1025.915235462263,results_plan_cluster_2016_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7322474.222042399,results_plan_cluster_2016_2014_weights_1_9.netcdf
0,netherlands,battery,1145.724996652839,results_plan_cluster_2016_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8521642.112473799,results_plan_cluster_2016_2015_weights_1_9.netcdf
0,netherlands,battery,1568.2055342993363,results_plan_cluster_2016_2017_weights_1_1.netcdf
1,netherlands,h2_salt_cavern,10331155.091571324,results_plan_cluster_2016_2017_weights_1_1.netcdf
0,netherlands,battery,1568.2919226929866,results_plan_cluster_2016_2017_weights_1_3.netcdf
1,netherlands,h2_salt_cavern,10332195.88463246,results_plan_cluster_2016_2017_weights_1_3.netcdf
0,netherlands,battery,1568.2916482553287,results_plan_cluster_2016_2017_weights_1_5.netcdf
1,netherlands,h2_salt_cavern,10331143.093828063,results_plan_cluster_2016_2017_weights_1_5.netcdf
0,netherlands,battery,1568.222606235068,results_plan_cluster_2016_2017_weights_1_7.netcdf
1,netherlands,h2_salt_cavern,10329438.43461159,results_plan_cluster_2016_2017_weights_1_7.netcdf
0,netherlands,battery,1568.2231847124813,results_plan_cluster_2016_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,10329380.26620569,results_plan_cluster_2016_2017_weights_1_9.netcdf
0,netherlands,battery,1568.3603714214235,results_plan_cluster_2016_2017_weights_3_1.netcdf
1,netherlands,h2_salt_cavern,10328245.46262679,results_plan_cluster_2016_2017_weights_3_1.netcdf
0,netherlands,battery,1568.3719206833975,results_plan_cluster_2016_2017_weights_5_1.netcdf
1,netherlands,h2_salt_cavern,10327388.128679289,results_plan_cluster_2016_2017_weights_5_1.netcdf
0,netherlands,battery,1568.3869992424789,results_plan_cluster_2016_2017_weights_7_1.netcdf
1,netherlands,h2_salt_cavern,10327219.477075122,results_plan_cluster_2016_2017_weights_7_1.netcdf
0,netherlands,battery,1568.4789089915027,results_plan_cluster_2016_2017_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,10328218.71892462,results_plan_cluster_2016_2017_weights_9_1.netcdf
0,netherlands,battery,1280.563105395101,results_plan_cluster_2016_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8321230.171720059,results_plan_cluster_2016_2018_weights_1_9.netcdf
0,netherlands,battery,1218.9601469648026,results_plan_cluster_2016_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7988638.884187955,results_plan_cluster_2016_2019_weights_1_9.netcdf
0,netherlands,battery,783.6389678809596,results_plan_cluster_2017_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,9538370.390414568,results_plan_cluster_2017_2010_weights_1_9.netcdf
0,netherlands,battery,783.6364206566318,results_plan_cluster_2017_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,9530498.92503828,results_plan_cluster_2017_2010_weights_9_1.netcdf
0,netherlands,battery,1704.5924460874514,results_plan_cluster_2017_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4870656.497026052,results_plan_cluster_2017_2011_weights_1_9.netcdf
0,netherlands,battery,855.5008428771143,results_plan_cluster_2017_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6188986.848444483,results_plan_cluster_2017_2012_weights_1_9.netcdf
0,netherlands,battery,601.6133278353971,results_plan_cluster_2017_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4895470.397442813,results_plan_cluster_2017_2013_weights_1_9.netcdf
0,netherlands,battery,1333.4028538847424,results_plan_cluster_2017_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6784531.710549818,results_plan_cluster_2017_2014_weights_1_9.netcdf
0,netherlands,battery,1143.197684933986,results_plan_cluster_2017_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5010199.12781687,results_plan_cluster_2017_2015_weights_1_9.netcdf
0,netherlands,battery,1568.4789717672363,results_plan_cluster_2017_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,10328212.672627188,results_plan_cluster_2017_2016_weights_1_9.netcdf
0,netherlands,battery,1893.814053550113,results_plan_cluster_2017_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5473418.456889684,results_plan_cluster_2017_2018_weights_1_9.netcdf
0,netherlands,battery,1196.9678135136303,results_plan_cluster_2017_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6321581.75621402,results_plan_cluster_2017_2019_weights_1_9.netcdf
0,netherlands,battery,783.7991223441688,results_plan_cluster_2018_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6748229.100241942,results_plan_cluster_2018_2010_weights_1_9.netcdf
0,netherlands,battery,783.7993672479507,results_plan_cluster_2018_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,6748967.412559738,results_plan_cluster_2018_2010_weights_9_1.netcdf
0,netherlands,battery,1251.1861868884118,results_plan_cluster_2018_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,3831766.8185937973,results_plan_cluster_2018_2011_weights_1_9.netcdf
0,netherlands,battery,1097.6634794882127,results_plan_cluster_2018_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4981311.089900274,results_plan_cluster_2018_2012_weights_1_9.netcdf
0,netherlands,battery,927.3107072494126,results_plan_cluster_2018_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5040524.692551022,results_plan_cluster_2018_2013_weights_1_9.netcdf
0,netherlands,battery,1627.0406019229608,results_plan_cluster_2018_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5899136.55000257,results_plan_cluster_2018_2014_weights_1_9.netcdf
0,netherlands,battery,1143.2502688747338,results_plan_cluster_2018_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,3972434.148156179,results_plan_cluster_2018_2015_weights_1_9.netcdf
0,netherlands,battery,1280.4775886033315,results_plan_cluster_2018_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8320805.0478962995,results_plan_cluster_2018_2016_weights_1_9.netcdf
0,netherlands,battery,1893.8132716188873,results_plan_cluster_2018_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5470850.99877047,results_plan_cluster_2018_2017_weights_1_9.netcdf
0,netherlands,battery,1188.4339924490976,results_plan_cluster_2018_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,3522261.725560354,results_plan_cluster_2018_2019_weights_1_9.netcdf
0,netherlands,battery,783.6115980493589,results_plan_cluster_2019_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6614111.783601262,results_plan_cluster_2019_2010_weights_1_9.netcdf
0,netherlands,battery,783.6134357365656,results_plan_cluster_2019_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,6616234.642602238,results_plan_cluster_2019_2010_weights_9_1.netcdf
0,netherlands,battery,1018.4347505546584,results_plan_cluster_2019_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4896096.671374193,results_plan_cluster_2019_2011_weights_1_9.netcdf
0,netherlands,battery,747.2066185597598,results_plan_cluster_2019_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5692885.060567025,results_plan_cluster_2019_2012_weights_1_9.netcdf
0,netherlands,battery,1030.8529762213097,results_plan_cluster_2019_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6082241.227558807,results_plan_cluster_2019_2013_weights_1_9.netcdf
0,netherlands,battery,1641.2172252863613,results_plan_cluster_2019_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5809757.276390504,results_plan_cluster_2019_2014_weights_1_9.netcdf
0,netherlands,battery,489.8083045919808,results_plan_cluster_2019_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4634163.784462605,results_plan_cluster_2019_2015_weights_1_9.netcdf
0,netherlands,battery,1219.1325343292453,results_plan_cluster_2019_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7995259.908507217,results_plan_cluster_2019_2016_weights_1_9.netcdf
0,netherlands,battery,1173.5930464352564,results_plan_cluster_2019_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6318683.629128379,results_plan_cluster_2019_2017_weights_1_9.netcdf
0,netherlands,battery,1182.0919855533202,results_plan_cluster_2019_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,3514061.7051510373,results_plan_cluster_2019_2018_weights_1_9.netcdf
